number_id,source_file,source_type,row,column,value,context,label
hmm_information_criteria_r1_c2,output/tables/hmm_information_criteria.tex,latex_table_cell,1,2,distinct variances,,
hmm_information_criteria_r1_c3,output/tables/hmm_information_criteria.tex,latex_table_cell,1,3,common variance,,
hmm_information_criteria_r2_c1,output/tables/hmm_information_criteria.tex,latex_table_cell,2,1,log likelihood,,
hmm_information_criteria_r2_c2,output/tables/hmm_information_criteria.tex,latex_table_cell,2,2,270.16,,
hmm_information_criteria_r2_c3,output/tables/hmm_information_criteria.tex,latex_table_cell,2,3,268.04,,
hmm_information_criteria_r3_c1,output/tables/hmm_information_criteria.tex,latex_table_cell,3,1,aic,,
hmm_information_criteria_r3_c2,output/tables/hmm_information_criteria.tex,latex_table_cell,3,2,-528.32,,
hmm_information_criteria_r3_c3,output/tables/hmm_information_criteria.tex,latex_table_cell,3,3,-526.09,,
hmm_information_criteria_r4_c1,output/tables/hmm_information_criteria.tex,latex_table_cell,4,1,bic,,
hmm_information_criteria_r4_c2,output/tables/hmm_information_criteria.tex,latex_table_cell,4,2,-502.98,,
hmm_information_criteria_r4_c3,output/tables/hmm_information_criteria.tex,latex_table_cell,4,3,-504.37,,
hmm_results_table_r1_c1,output/tables/hmm_results_table.tex,latex_table_cell,1,1,,,
hmm_results_table_r1_c2,output/tables/hmm_results_table.tex,latex_table_cell,1,2,\multicolumn{2}{c}{distinct variances,,
hmm_results_table_r1_c3,output/tables/hmm_results_table.tex,latex_table_cell,1,3,,,
hmm_results_table_r1_c4,output/tables/hmm_results_table.tex,latex_table_cell,1,4,\multicolumn{2}{c}{a common variance,,
hmm_results_table_r2_c1,output/tables/hmm_results_table.tex,latex_table_cell,2,1,,,
hmm_results_table_r2_c2,output/tables/hmm_results_table.tex,latex_table_cell,2,2,low price,,
hmm_results_table_r2_c3,output/tables/hmm_results_table.tex,latex_table_cell,2,3,high price,,
hmm_results_table_r2_c4,output/tables/hmm_results_table.tex,latex_table_cell,2,4,,,
hmm_results_table_r2_c5,output/tables/hmm_results_table.tex,latex_table_cell,2,5,low price,,
hmm_results_table_r2_c6,output/tables/hmm_results_table.tex,latex_table_cell,2,6,high price,,
hmm_results_table_r3_c1,output/tables/hmm_results_table.tex,latex_table_cell,3,1,,,
hmm_results_table_r3_c2,output/tables/hmm_results_table.tex,latex_table_cell,3,2,35.76,,
hmm_results_table_r3_c3,output/tables/hmm_results_table.tex,latex_table_cell,3,3,44.32,,
hmm_results_table_r3_c4,output/tables/hmm_results_table.tex,latex_table_cell,3,4,,,
hmm_results_table_r3_c5,output/tables/hmm_results_table.tex,latex_table_cell,3,5,32.49,,
hmm_results_table_r3_c6,output/tables/hmm_results_table.tex,latex_table_cell,3,6,42.85,,
hmm_results_table_r4_c1,output/tables/hmm_results_table.tex,latex_table_cell,4,1,s.d.,,
hmm_results_table_r4_c2,output/tables/hmm_results_table.tex,latex_table_cell,4,2,0.106,,
hmm_results_table_r4_c3,output/tables/hmm_results_table.tex,latex_table_cell,4,3,0.075,,
hmm_results_table_r4_c4,output/tables/hmm_results_table.tex,latex_table_cell,4,4,,,
hmm_results_table_r4_c5,output/tables/hmm_results_table.tex,latex_table_cell,4,5,0.089,,
hmm_results_table_r4_c6,output/tables/hmm_results_table.tex,latex_table_cell,4,6,0.089,,
hmm_results_table_r5_c1,output/tables/hmm_results_table.tex,latex_table_cell,5,1,,,
hmm_results_table_r5_c2,output/tables/hmm_results_table.tex,latex_table_cell,5,2,,,
hmm_results_table_r5_c3,output/tables/hmm_results_table.tex,latex_table_cell,5,3,,,
hmm_results_table_r5_c4,output/tables/hmm_results_table.tex,latex_table_cell,5,4,transition probabilities,,
hmm_results_table_r5_c5,output/tables/hmm_results_table.tex,latex_table_cell,5,5,,,
hmm_results_table_r5_c6,output/tables/hmm_results_table.tex,latex_table_cell,5,6,,,
hmm_results_table_r6_c1,output/tables/hmm_results_table.tex,latex_table_cell,6,1,,,
hmm_results_table_r6_c2,output/tables/hmm_results_table.tex,latex_table_cell,6,2,low,,
hmm_results_table_r6_c3,output/tables/hmm_results_table.tex,latex_table_cell,6,3,high,,
hmm_results_table_r6_c4,output/tables/hmm_results_table.tex,latex_table_cell,6,4,,,
hmm_results_table_r6_c5,output/tables/hmm_results_table.tex,latex_table_cell,6,5,low,,
hmm_results_table_r6_c6,output/tables/hmm_results_table.tex,latex_table_cell,6,6,high,,
hmm_results_table_r7_c1,output/tables/hmm_results_table.tex,latex_table_cell,7,1,low,,
hmm_results_table_r7_c2,output/tables/hmm_results_table.tex,latex_table_cell,7,2,0.707,,
hmm_results_table_r7_c3,output/tables/hmm_results_table.tex,latex_table_cell,7,3,0.293,,
hmm_results_table_r7_c4,output/tables/hmm_results_table.tex,latex_table_cell,7,4,,,
hmm_results_table_r7_c5,output/tables/hmm_results_table.tex,latex_table_cell,7,5,0.762,,
hmm_results_table_r7_c6,output/tables/hmm_results_table.tex,latex_table_cell,7,6,0.238,,
hmm_results_table_r8_c1,output/tables/hmm_results_table.tex,latex_table_cell,8,1,high,,
hmm_results_table_r8_c2,output/tables/hmm_results_table.tex,latex_table_cell,8,2,0.174,,
hmm_results_table_r8_c3,output/tables/hmm_results_table.tex,latex_table_cell,8,3,0.826,,
hmm_results_table_r8_c4,output/tables/hmm_results_table.tex,latex_table_cell,8,4,,,
hmm_results_table_r8_c5,output/tables/hmm_results_table.tex,latex_table_cell,8,5,0.041,,
hmm_results_table_r8_c6,output/tables/hmm_results_table.tex,latex_table_cell,8,6,0.959,,
present_value_site1043_pa41.11_det_r1_c1,output/tables/present_value_site1043_pa41.11_det.tex,latex_table_cell,1,1,pa,,
present_value_site1043_pa41.11_det_r1_c2,output/tables/present_value_site1043_pa41.11_det.tex,latex_table_cell,1,2,pe,,
present_value_site1043_pa41.11_det_r1_c3,output/tables/present_value_site1043_pa41.11_det.tex,latex_table_cell,1,3,b,,
present_value_site1043_pa41.11_det_r1_c4,output/tables/present_value_site1043_pa41.11_det.tex,latex_table_cell,1,4,agricultural output value,,
present_value_site1043_pa41.11_det_r1_c5,output/tables/present_value_site1043_pa41.11_det.tex,latex_table_cell,1,5,net transfers,,
present_value_site1043_pa41.11_det_r1_c6,output/tables/present_value_site1043_pa41.11_det.tex,latex_table_cell,1,6,forest services,,
present_value_site1043_pa41.11_det_r1_c7,output/tables/present_value_site1043_pa41.11_det.tex,latex_table_cell,1,7,adjustment costs,,
present_value_site1043_pa41.11_det_r1_c8,output/tables/present_value_site1043_pa41.11_det.tex,latex_table_cell,1,8,planner value,,
present_value_site1043_pa41.11_det_r2_c1,output/tables/present_value_site1043_pa41.11_det.tex,latex_table_cell,2,1,41.11,,
present_value_site1043_pa41.11_det_r2_c2,output/tables/present_value_site1043_pa41.11_det.tex,latex_table_cell,2,2,6.80,,
present_value_site1043_pa41.11_det_r2_c3,output/tables/present_value_site1043_pa41.11_det.tex,latex_table_cell,2,3,0,,
present_value_site1043_pa41.11_det_r2_c4,output/tables/present_value_site1043_pa41.11_det.tex,latex_table_cell,2,4,3.79,,
present_value_site1043_pa41.11_det_r2_c5,output/tables/present_value_site1043_pa41.11_det.tex,latex_table_cell,2,5,0.00,,
present_value_site1043_pa41.11_det_r2_c6,output/tables/present_value_site1043_pa41.11_det.tex,latex_table_cell,2,6,-1.09,,
present_value_site1043_pa41.11_det_r2_c7,output/tables/present_value_site1043_pa41.11_det.tex,latex_table_cell,2,7,0.06,,
present_value_site1043_pa41.11_det_r2_c8,output/tables/present_value_site1043_pa41.11_det.tex,latex_table_cell,2,8,2.64,,
present_value_site1043_pa41.11_det_r3_c1,output/tables/present_value_site1043_pa41.11_det.tex,latex_table_cell,3,1,41.11,,
present_value_site1043_pa41.11_det_r3_c2,output/tables/present_value_site1043_pa41.11_det.tex,latex_table_cell,3,2,16.80,,
present_value_site1043_pa41.11_det_r3_c3,output/tables/present_value_site1043_pa41.11_det.tex,latex_table_cell,3,3,10,,
present_value_site1043_pa41.11_det_r3_c4,output/tables/present_value_site1043_pa41.11_det.tex,latex_table_cell,3,4,0.89,,
present_value_site1043_pa41.11_det_r3_c5,output/tables/present_value_site1043_pa41.11_det.tex,latex_table_cell,3,5,1.28,,
present_value_site1043_pa41.11_det_r3_c6,output/tables/present_value_site1043_pa41.11_det.tex,latex_table_cell,3,6,0.87,,
present_value_site1043_pa41.11_det_r3_c7,output/tables/present_value_site1043_pa41.11_det.tex,latex_table_cell,3,7,0.10,,
present_value_site1043_pa41.11_det_r3_c8,output/tables/present_value_site1043_pa41.11_det.tex,latex_table_cell,3,8,2.94,,
present_value_site1043_pa41.11_det_r4_c1,output/tables/present_value_site1043_pa41.11_det.tex,latex_table_cell,4,1,41.11,,
present_value_site1043_pa41.11_det_r4_c2,output/tables/present_value_site1043_pa41.11_det.tex,latex_table_cell,4,2,21.80,,
present_value_site1043_pa41.11_det_r4_c3,output/tables/present_value_site1043_pa41.11_det.tex,latex_table_cell,4,3,15,,
present_value_site1043_pa41.11_det_r4_c4,output/tables/present_value_site1043_pa41.11_det.tex,latex_table_cell,4,4,0.48,,
present_value_site1043_pa41.11_det_r4_c5,output/tables/present_value_site1043_pa41.11_det.tex,latex_table_cell,4,5,2.29,,
present_value_site1043_pa41.11_det_r4_c6,output/tables/present_value_site1043_pa41.11_det.tex,latex_table_cell,4,6,1.04,,
present_value_site1043_pa41.11_det_r4_c7,output/tables/present_value_site1043_pa41.11_det.tex,latex_table_cell,4,7,0.14,,
present_value_site1043_pa41.11_det_r4_c8,output/tables/present_value_site1043_pa41.11_det.tex,latex_table_cell,4,8,3.66,,
present_value_site1043_pa41.11_det_r5_c1,output/tables/present_value_site1043_pa41.11_det.tex,latex_table_cell,5,1,41.11,,
present_value_site1043_pa41.11_det_r5_c2,output/tables/present_value_site1043_pa41.11_det.tex,latex_table_cell,5,2,26.80,,
present_value_site1043_pa41.11_det_r5_c3,output/tables/present_value_site1043_pa41.11_det.tex,latex_table_cell,5,3,20,,
present_value_site1043_pa41.11_det_r5_c4,output/tables/present_value_site1043_pa41.11_det.tex,latex_table_cell,5,4,0.26,,
present_value_site1043_pa41.11_det_r5_c5,output/tables/present_value_site1043_pa41.11_det.tex,latex_table_cell,5,5,3.26,,
present_value_site1043_pa41.11_det_r5_c6,output/tables/present_value_site1043_pa41.11_det.tex,latex_table_cell,5,6,1.11,,
present_value_site1043_pa41.11_det_r5_c7,output/tables/present_value_site1043_pa41.11_det.tex,latex_table_cell,5,7,0.18,,
present_value_site1043_pa41.11_det_r5_c8,output/tables/present_value_site1043_pa41.11_det.tex,latex_table_cell,5,8,4.44,,
present_value_site1043_pa41.11_det_r6_c1,output/tables/present_value_site1043_pa41.11_det.tex,latex_table_cell,6,1,41.11,,
present_value_site1043_pa41.11_det_r6_c2,output/tables/present_value_site1043_pa41.11_det.tex,latex_table_cell,6,2,31.80,,
present_value_site1043_pa41.11_det_r6_c3,output/tables/present_value_site1043_pa41.11_det.tex,latex_table_cell,6,3,25,,
present_value_site1043_pa41.11_det_r6_c4,output/tables/present_value_site1043_pa41.11_det.tex,latex_table_cell,6,4,0.16,,
present_value_site1043_pa41.11_det_r6_c5,output/tables/present_value_site1043_pa41.11_det.tex,latex_table_cell,6,5,4.19,,
present_value_site1043_pa41.11_det_r6_c6,output/tables/present_value_site1043_pa41.11_det.tex,latex_table_cell,6,6,1.14,,
present_value_site1043_pa41.11_det_r6_c7,output/tables/present_value_site1043_pa41.11_det.tex,latex_table_cell,6,7,0.22,,
present_value_site1043_pa41.11_det_r6_c8,output/tables/present_value_site1043_pa41.11_det.tex,latex_table_cell,6,8,5.27,,
present_value_site78_pa41.11_det_r1_c1,output/tables/present_value_site78_pa41.11_det.tex,latex_table_cell,1,1,pa,,
present_value_site78_pa41.11_det_r1_c2,output/tables/present_value_site78_pa41.11_det.tex,latex_table_cell,1,2,pe,,
present_value_site78_pa41.11_det_r1_c3,output/tables/present_value_site78_pa41.11_det.tex,latex_table_cell,1,3,b,,
present_value_site78_pa41.11_det_r1_c4,output/tables/present_value_site78_pa41.11_det.tex,latex_table_cell,1,4,agricultural output value,,
present_value_site78_pa41.11_det_r1_c5,output/tables/present_value_site78_pa41.11_det.tex,latex_table_cell,1,5,net transfers,,
present_value_site78_pa41.11_det_r1_c6,output/tables/present_value_site78_pa41.11_det.tex,latex_table_cell,1,6,forest services,,
present_value_site78_pa41.11_det_r1_c7,output/tables/present_value_site78_pa41.11_det.tex,latex_table_cell,1,7,adjustment costs,,
present_value_site78_pa41.11_det_r1_c8,output/tables/present_value_site78_pa41.11_det.tex,latex_table_cell,1,8,planner value,,
present_value_site78_pa41.11_det_r2_c1,output/tables/present_value_site78_pa41.11_det.tex,latex_table_cell,2,1,41.11,,
present_value_site78_pa41.11_det_r2_c2,output/tables/present_value_site78_pa41.11_det.tex,latex_table_cell,2,2,6.70,,
present_value_site78_pa41.11_det_r2_c3,output/tables/present_value_site78_pa41.11_det.tex,latex_table_cell,2,3,0,,
present_value_site78_pa41.11_det_r2_c4,output/tables/present_value_site78_pa41.11_det.tex,latex_table_cell,2,4,3.59,,
present_value_site78_pa41.11_det_r2_c5,output/tables/present_value_site78_pa41.11_det.tex,latex_table_cell,2,5,0.00,,
present_value_site78_pa41.11_det_r2_c6,output/tables/present_value_site78_pa41.11_det.tex,latex_table_cell,2,6,-1.14,,
present_value_site78_pa41.11_det_r2_c7,output/tables/present_value_site78_pa41.11_det.tex,latex_table_cell,2,7,0.05,,
present_value_site78_pa41.11_det_r2_c8,output/tables/present_value_site78_pa41.11_det.tex,latex_table_cell,2,8,2.39,,
present_value_site78_pa41.11_det_r3_c1,output/tables/present_value_site78_pa41.11_det.tex,latex_table_cell,3,1,41.11,,
present_value_site78_pa41.11_det_r3_c2,output/tables/present_value_site78_pa41.11_det.tex,latex_table_cell,3,2,16.70,,
present_value_site78_pa41.11_det_r3_c3,output/tables/present_value_site78_pa41.11_det.tex,latex_table_cell,3,3,10,,
present_value_site78_pa41.11_det_r3_c4,output/tables/present_value_site78_pa41.11_det.tex,latex_table_cell,3,4,0.61,,
present_value_site78_pa41.11_det_r3_c5,output/tables/present_value_site78_pa41.11_det.tex,latex_table_cell,3,5,1.41,,
present_value_site78_pa41.11_det_r3_c6,output/tables/present_value_site78_pa41.11_det.tex,latex_table_cell,3,6,0.94,,
present_value_site78_pa41.11_det_r3_c7,output/tables/present_value_site78_pa41.11_det.tex,latex_table_cell,3,7,0.10,,
present_value_site78_pa41.11_det_r3_c8,output/tables/present_value_site78_pa41.11_det.tex,latex_table_cell,3,8,2.86,,
present_value_site78_pa41.11_det_r4_c1,output/tables/present_value_site78_pa41.11_det.tex,latex_table_cell,4,1,41.11,,
present_value_site78_pa41.11_det_r4_c2,output/tables/present_value_site78_pa41.11_det.tex,latex_table_cell,4,2,21.70,,
present_value_site78_pa41.11_det_r4_c3,output/tables/present_value_site78_pa41.11_det.tex,latex_table_cell,4,3,15,,
present_value_site78_pa41.11_det_r4_c4,output/tables/present_value_site78_pa41.11_det.tex,latex_table_cell,4,4,0.28,,
present_value_site78_pa41.11_det_r4_c5,output/tables/present_value_site78_pa41.11_det.tex,latex_table_cell,4,5,2.41,,
present_value_site78_pa41.11_det_r4_c6,output/tables/present_value_site78_pa41.11_det.tex,latex_table_cell,4,6,1.08,,
present_value_site78_pa41.11_det_r4_c7,output/tables/present_value_site78_pa41.11_det.tex,latex_table_cell,4,7,0.15,,
present_value_site78_pa41.11_det_r4_c8,output/tables/present_value_site78_pa41.11_det.tex,latex_table_cell,4,8,3.61,,
present_value_site78_pa41.11_det_r5_c1,output/tables/present_value_site78_pa41.11_det.tex,latex_table_cell,5,1,41.11,,
present_value_site78_pa41.11_det_r5_c2,output/tables/present_value_site78_pa41.11_det.tex,latex_table_cell,5,2,26.70,,
present_value_site78_pa41.11_det_r5_c3,output/tables/present_value_site78_pa41.11_det.tex,latex_table_cell,5,3,20,,
present_value_site78_pa41.11_det_r5_c4,output/tables/present_value_site78_pa41.11_det.tex,latex_table_cell,5,4,0.23,,
present_value_site78_pa41.11_det_r5_c5,output/tables/present_value_site78_pa41.11_det.tex,latex_table_cell,5,5,3.28,,
present_value_site78_pa41.11_det_r5_c6,output/tables/present_value_site78_pa41.11_det.tex,latex_table_cell,5,6,1.10,,
present_value_site78_pa41.11_det_r5_c7,output/tables/present_value_site78_pa41.11_det.tex,latex_table_cell,5,7,0.19,,
present_value_site78_pa41.11_det_r5_c8,output/tables/present_value_site78_pa41.11_det.tex,latex_table_cell,5,8,4.42,,
present_value_site78_pa41.11_det_r6_c1,output/tables/present_value_site78_pa41.11_det.tex,latex_table_cell,6,1,41.11,,
present_value_site78_pa41.11_det_r6_c2,output/tables/present_value_site78_pa41.11_det.tex,latex_table_cell,6,2,31.70,,
present_value_site78_pa41.11_det_r6_c3,output/tables/present_value_site78_pa41.11_det.tex,latex_table_cell,6,3,25,,
present_value_site78_pa41.11_det_r6_c4,output/tables/present_value_site78_pa41.11_det.tex,latex_table_cell,6,4,0.14,,
present_value_site78_pa41.11_det_r6_c5,output/tables/present_value_site78_pa41.11_det.tex,latex_table_cell,6,5,4.21,,
present_value_site78_pa41.11_det_r6_c6,output/tables/present_value_site78_pa41.11_det.tex,latex_table_cell,6,6,1.13,,
present_value_site78_pa41.11_det_r6_c7,output/tables/present_value_site78_pa41.11_det.tex,latex_table_cell,6,7,0.22,,
present_value_site78_pa41.11_det_r6_c8,output/tables/present_value_site78_pa41.11_det.tex,latex_table_cell,6,8,5.26,,
present_value_site_ambiguity_comparison_xi_0.5_r1_c1,output/tables/present_value_site_ambiguity_comparison_xi_0.5.tex,latex_table_cell,1,1,b,,
present_value_site_ambiguity_comparison_xi_0.5_r1_c2,output/tables/present_value_site_ambiguity_comparison_xi_0.5.tex,latex_table_cell,1,2,AO_det,,
present_value_site_ambiguity_comparison_xi_0.5_r1_c3,output/tables/present_value_site_ambiguity_comparison_xi_0.5.tex,latex_table_cell,1,3,AO_hmc,,
present_value_site_ambiguity_comparison_xi_0.5_r1_c4,output/tables/present_value_site_ambiguity_comparison_xi_0.5.tex,latex_table_cell,1,4,% Change AO,,
present_value_site_ambiguity_comparison_xi_0.5_r1_c5,output/tables/present_value_site_ambiguity_comparison_xi_0.5.tex,latex_table_cell,1,5,PV_det,,
present_value_site_ambiguity_comparison_xi_0.5_r1_c6,output/tables/present_value_site_ambiguity_comparison_xi_0.5.tex,latex_table_cell,1,6,PV_hmc,,
present_value_site_ambiguity_comparison_xi_0.5_r1_c7,output/tables/present_value_site_ambiguity_comparison_xi_0.5.tex,latex_table_cell,1,7,% Change PV,,
